Auction,From,State,Loc,,Country,To,Car,Motorcycle,Pickup,SUV,Travel trailer,
Copart,MENTONE - California - Copart,California,CA - Mentone ,CA,USA,Los Angeles,300,300,,,,Mentone 
Copart,RANCHO CUCAMONGA - California - Copart,California,CA - Rancho Cucamonga ,CA,USA,Los Angeles,200,200,,,,Rancho Cucamonga 
Copart,REDDING - California - Copart,California,CA - Redding ,CA,USA,Los Angeles,800,650,,,,Redding 
Copart,SACRAMENTO - California - Copart,California,CA - Sacramento ,CA,USA,Los Angeles,400,300,,,,Sacramento 
Copart,SAN BERNARDINO - California - Copart,California,CA - San Bernardino ,CA,USA,Los Angeles,200,200,,,,San Bernardino 
Copart,SAN DIEGO - California - Copart,California,CA - San Diego ,CA,USA,Los Angeles,230,150,,,,San Diego 
Copart,SAN JOSE - California - Copart,California,CA - San Jose ,CA,USA,Los Angeles,400,300,,,,San Jose 
Copart,SO SACRAMENTO - California - Copart,California,CA - So Sacramento ,CA,USA,Los Angeles,400,300,,,,So Sacramento 
Copart,SUN VALLEY - California - Copart,California,CA - Sun Valley ,CA,USA,Los Angeles,200,200,,,,Sun Valley 
Copart,VALLEJO - California - Copart,California,CA - Vallejo ,CA,USA,Los Angeles,400,300,,,,Vallejo 
Copart,VAN NUYS - California - Copart,California,CA - Van Nuys ,CA,USA,Los Angeles,200,200,,,,Van Nuys 
Copart,COLORADO SPRINGS - Colorado - Copart,Colorado,CO - Colorado Springs ,CO,USA,Chicago,650,500,,,,Colorado Springs 
Copart,DENVER - Colorado - Copart,Colorado,CO - Denver ,CO,USA,Chicago,650,500,,,,Denver 
Copart,DENVER CENTRAL - Colorado - Copart,Colorado,CO - Denver Central ,CO,USA,Chicago,650,500,,,,Denver Central 
Copart,DENVER SOUTH - Colorado - Copart,Colorado,CO - Denver South ,CO,USA,Chicago,650,500,,,,Denver South 
Copart,MO - COLUMBIA - Missouri - Copart,Missouri,MO - Mo ,MO,USA,Savannah,625,425,,,,Mo 
Copart,HARTFORD - Connecticut - Copart,Connecticut,CT - Hartford ,CT,USA,Newark,225,175,,,,Hartford 
Copart,HARTFORD SPRINGFIELD - Connecticut - Copart,Connecticut,CT - Hartford Springfield ,CT,USA,Newark,250,200,,,,Hartford Springfield 
Copart,SEAFORD - Delaware - Copart,Delaware,DE - Seaford ,DE,USA,Newark,325,250,,,,Seaford 
Copart,FT. PIERCE - Florida - Copart,Florida,FL - Ft. Pierce ,FL,USA,Miami,200,180,,,,Ft. Pierce 
Copart,JACKSONVILLE EAST - Florida - Copart,Florida,FL - Jacksonville East ,FL,USA,Savannah,225,175,,,,Jacksonville East 
Copart,JACKSONVILLE NORTH - Florida - Copart,Florida,FL - Jacksonville North ,FL,USA,Savannah,225,175,,,,Jacksonville North 
Copart,JACKSONVILLE WEST - Florida - Copart,Florida,FL - Jacksonville West ,FL,USA,Savannah,225,175,,,,Jacksonville West 
Copart,MIAMI CENTRAL - Florida - Copart,Florida,FL - Miami Central ,FL,USA,Miami,125,125,,,,Miami Central 
Copart,MIAMI NORTH - Florida - Copart,Florida,FL - Miami North ,FL,USA,Miami,125,125,,,,Miami North 
Copart,MIAMI SOUTH - Florida - Copart,Florida,FL - Miami South ,FL,USA,Miami,150,150,,,,Miami South 
Copart,OCALA - Florida - Copart,Florida,FL - Ocala ,FL,USA,Miami,300,275,,,,Ocala 
Copart,ORLANDO - Florida - Copart,Florida,FL - Orlando ,FL,USA,Miami,250,225,,,,Orlando 
Copart,ORLANDO NORTH - Florida - Copart,Florida,FL - Orlando North ,FL,USA,Miami,250,225,,,,Orlando North 
Copart,ORLANDO SOUTH - Florida - Copart,Florida,FL - Orlando South ,FL,USA,Miami,250,225,,,,Orlando South 
Copart,PUNTA GORDA - Florida - Copart,Florida,FL - Punta Gorda ,FL,USA,Miami,225,200,,,,Punta Gorda 
Copart,PUNTA GORDA SOUTH - Florida - Copart,Florida,FL - Punta Gorda South ,FL,USA,Miami,275,250,,,,Punta Gorda South 
Copart,TALLAHASSEE - Florida - Copart,Florida,FL - Tallahassee ,FL,USA,Savannah,325,250,,,,Tallahassee 
Copart,TAMPA SOUTH - Florida - Copart,Florida,FL - Tampa South ,FL,USA,Miami,225,200,,,,Tampa South 
Copart,WEST PALM BEACH - Florida - Copart,Florida,FL - West Palm Beach ,FL,USA,Miami,170,170,,,,West Palm Beach 
Copart,ATLANTA EAST - Georgia - Copart,Georgia,GA - Atlanta East ,GA,USA,Savannah,300,250,,,,Atlanta East 
Copart,ATLANTA NORTH - Georgia - Copart,Georgia,GA - Atlanta North ,GA,USA,Savannah,325,250,,,,Atlanta North 
Copart,ATLANTA SOUTH - Georgia - Copart,Georgia,GA - Atlanta South ,GA,USA,Savannah,300,250,,,,Atlanta South 
Copart,ATLANTA WEST - Georgia - Copart,Georgia,GA - Atlanta West ,GA,USA,Savannah,275,225,,,,Atlanta West 
Copart,Augusta - Georgia - Copart,Georgia,GA - Augusta ,GA,USA,Savannah,275,225,,,,Augusta 
Copart,CARTERSVILLE - Georgia - Copart,Georgia,GA - Cartersville ,GA,USA,Savannah,300,250,,,,Cartersville 
Copart,CRASHEDTOYS ATLANTA - Georgia - Copart,Georgia,GA - Crashedtoys Atlanta ,GA,USA,Savannah,275,250,,,,Crashedtoys Atlanta 
Copart,FAIRBURN - Georgia - Copart,Georgia,GA - Fairburn ,GA,USA,Savannah,275,250,,,,Fairburn 
Copart,MACON - Georgia - Copart,Georgia,GA - Macon ,GA,USA,Savannah,250,200,,,,Macon 
Copart,SAVANNAH - Georgia - Copart,Georgia,GA - Savannah ,GA,USA,Savannah,125,125,,,,Savannah 
Copart,TIFTON - Georgia - Copart,Georgia,GA - Tifton ,GA,USA,Savannah,275,225,,,,Tifton 
Copart,SAVANNAH / VERTIA SUBLOT-Georgia Copart - Georgia - Copart,Georgia,GA - Savannah / Vertia Sublot,GA,USA,Savannah,175,150,,,,Savannah / Vertia Sublot
Copart,ADP TOWING MAUI - Hawaii - Copart,Hawaii,HA - Adp Towing Maui ,HA,USA,Los Angeles,2150,,,,,Adp Towing Maui 
Copart,DK TOWING KAUAI - Hawaii - Copart,Hawaii,HA - Dk Towing Kauai ,HA,USA,Los Angeles,2750,,3150,2950,,Dk Towing Kauai 
Copart,DK TOWING KAUAI - Hawaii - Copart,Hawaii,HA - Dk Towing Kauai ,HA,USA,Honolulu,1750,,2050,1850,,Dk Towing Kauai 
Copart,HONOLULU - Hawaii - Copart,Hawaii,HA - Honolulu ,HA,USA,Honolulu,120,,,,,Honolulu 
Copart,KENS TOWING HILO - Hawaii - Copart,Hawaii,HA - Kens Towing Hilo ,HA,USA,Los Angeles,2000,,,,,Kens Towing Hilo 
Copart,TOW GUYS KAMUELA - Hawaii - Copart,Hawaii,HA - Tow Guys Kamuela ,HA,USA,Los Angeles,2200,,,,,Tow Guys Kamuela 
Copart,BOISE - Idaho - Copart,Idaho,ID - Boise ,ID,USA,Seattle,450,450,,,,Boise 
Copart,CHICAGO NORTH - Illinois - Copart,Illinois,IL - Chicago North ,IL,USA,Chicago,180,180,,,,Chicago North 
Copart,CHICAGO SOUTH - Illinois - Copart,Illinois,IL - Chicago South ,IL,USA,Chicago,180,180,,,,Chicago South 
Copart,CHICAGO SOUTH-Woodmar/Heights sublot - Illinois - Copart,Illinois,IL - Chicago South,IL,USA,Chicago,180,180,,,,Chicago South
